map_name,scenario_index,total_agents,active_agents,inactive_agents,density,SOC,makespan,runtime
maze-32-32-2,1,25,25,0,0.3740234375,3725,148,0.06084465980529785
maze-32-32-2,2,25,25,0,0.3740234375,3550,141,0.06288552284240723
maze-32-32-2,3,25,25,0,0.3740234375,3475,138,0.05944490432739258
maze-32-32-2,4,25,25,0,0.3740234375,3425,136,0.062105417251586914
maze-32-32-2,5,25,25,0,0.3740234375,3300,131,0.05937528610229492
maze-32-32-2,6,25,25,0,0.3740234375,3525,140,0.05487632751464844
maze-32-32-2,7,25,25,0,0.3740234375,4375,174,0.06728029251098633
maze-32-32-2,8,25,25,0,0.3740234375,2775,110,0.04770851135253906
maze-32-32-2,9,25,25,0,0.3740234375,2975,118,0.05180525779724121
maze-32-32-2,10,25,25,0,0.3740234375,3675,146,0.06219840049743652
maze-32-32-2,11,25,25,0,0.3740234375,3250,129,0.055077314376831055
maze-32-32-2,12,25,25,0,0.3740234375,3300,131,0.055295705795288086
maze-32-32-2,13,25,25,0,0.3740234375,3650,145,0.062348127365112305
maze-32-32-2,14,25,25,0,0.3740234375,2700,107,0.05814409255981445
maze-32-32-2,15,25,25,0,0.3740234375,2750,109,0.047823190689086914
maze-32-32-2,16,25,25,0,0.3740234375,2775,110,0.04885053634643555
maze-32-32-2,17,25,25,0,0.3740234375,3400,135,0.056893110275268555
maze-32-32-2,18,25,25,0,0.3740234375,3075,122,0.05187249183654785
maze-32-32-2,19,25,25,0,0.3740234375,4175,166,0.06833148002624512
maze-32-32-2,20,25,25,0,0.3740234375,3425,136,0.060025691986083984
maze-32-32-2,21,25,25,0,0.3740234375,2825,112,0.05365729331970215
maze-32-32-2,22,25,25,0,0.3740234375,3600,143,0.06763291358947754
maze-32-32-2,23,25,25,0,0.3740234375,3425,136,0.05534768104553223
maze-32-32-2,24,25,25,0,0.3740234375,2850,113,0.05207395553588867
maze-32-32-2,25,25,25,0,0.3740234375,3375,134,0.06281566619873047
maze-32-32-2,1,50,25,25,0.3984375,7450,148,0.09167122840881348
maze-32-32-2,2,50,25,25,0.3984375,7100,141,0.09625720977783203
maze-32-32-2,3,50,25,25,0.3984375,6650,132,0.08548903465270996
maze-32-32-2,4,50,25,25,0.3984375,6450,128,0.08805274963378906
maze-32-32-2,5,50,25,25,0.3984375,6700,133,0.09166312217712402
maze-32-32-2,6,50,25,25,0.3984375,7100,141,0.08480000495910645
maze-32-32-2,7,50,25,25,0.3984375,10350,206,0.11527299880981445
maze-32-32-2,8,50,25,25,0.3984375,5550,110,0.07180500030517578
maze-32-32-2,9,50,25,25,0.3984375,5950,118,0.08130478858947754
maze-32-32-2,10,50,25,25,0.3984375,7350,146,0.08911633491516113
maze-32-32-2,11,50,25,25,0.3984375,6500,129,0.08624696731567383
maze-32-32-2,12,50,25,25,0.3984375,6600,131,0.08423423767089844
maze-32-32-2,13,50,25,25,0.3984375,7600,151,0.09941697120666504
maze-32-32-2,14,50,25,25,0.3984375,5400,107,0.08496832847595215
maze-32-32-2,15,50,25,25,0.3984375,5500,109,0.07092571258544922
maze-32-32-2,16,50,25,25,0.3984375,6050,120,0.08080220222473145
maze-32-32-2,17,50,25,25,0.3984375,6800,135,0.08547353744506836
maze-32-32-2,18,50,25,25,0.3984375,6150,122,0.07615470886230469
maze-32-32-2,19,50,25,25,0.3984375,8350,166,0.10588574409484863
maze-32-32-2,20,50,25,25,0.3984375,6850,136,0.09054303169250488
maze-32-32-2,21,50,25,25,0.3984375,5650,112,0.07807779312133789
maze-32-32-2,22,50,25,25,0.3984375,8100,161,0.10698747634887695
maze-32-32-2,23,50,25,25,0.3984375,7100,141,0.09204411506652832
maze-32-32-2,24,50,25,25,0.3984375,5700,113,0.08000302314758301
maze-32-32-2,25,50,25,25,0.3984375,6700,133,0.09499979019165039
maze-32-32-2,1,75,25,50,0.4228515625,11400,151,0.12186050415039062
maze-32-32-2,2,75,25,50,0.4228515625,10650,141,0.12668418884277344
maze-32-32-2,3,75,25,50,0.4228515625,9975,132,0.11528515815734863
maze-32-32-2,4,75,25,50,0.4228515625,9675,128,0.11678814888000488
maze-32-32-2,5,75,25,50,0.4228515625,10050,133,0.11855030059814453
maze-32-32-2,6,75,25,50,0.4228515625,11700,155,0.11848664283752441
maze-32-32-2,7,75,25,50,0.4228515625,15675,208,0.15947723388671875
maze-32-32-2,8,75,25,50,0.4228515625,8325,110,0.09597611427307129
maze-32-32-2,9,75,25,50,0.4228515625,9075,120,0.10734128952026367
maze-32-32-2,10,75,25,50,0.4228515625,11700,155,0.1255948543548584
maze-32-32-2,11,75,25,50,0.4228515625,9975,132,0.1150808334350586
maze-32-32-2,12,75,25,50,0.4228515625,12225,162,0.12814116477966309
maze-32-32-2,13,75,25,50,0.4228515625,11175,148,0.12847685813903809
