map_name,scenario_index,total_agents,active_agents,inactive_agents,density,SOC,makespan,runtime
maze-32-32-2,1,25,25,0,0.374,3250,129,0.12095522880554199
maze-32-32-2,2,25,25,0,0.374,3575,142,0.13554978370666504
maze-32-32-2,3,25,25,0,0.374,3325,132,0.12479543685913086
maze-32-32-2,4,25,25,0,0.374,2975,118,0.11173582077026367
maze-32-32-2,5,25,25,0,0.374,2875,114,0.1070859432220459
maze-32-32-2,6,25,25,0,0.374,3250,129,0.11801767349243164
maze-32-32-2,7,25,25,0,0.374,4200,167,0.153489351272583
maze-32-32-2,8,25,25,0,0.374,2900,115,0.10880923271179199
maze-32-32-2,9,25,25,0,0.374,2950,117,0.1093149185180664
maze-32-32-2,10,25,25,0,0.374,3300,131,0.11988019943237305
maze-32-32-2,11,25,25,0,0.374,3100,123,0.11540102958679199
maze-32-32-2,12,25,25,0,0.374,3325,132,0.12214326858520508
maze-32-32-2,13,25,25,0,0.374,2825,112,0.10482978820800781
maze-32-32-2,14,25,25,0,0.374,2700,107,0.10339546203613281
maze-32-32-2,15,25,25,0,0.374,,,
maze-32-32-2,16,25,25,0,0.374,2975,118,0.11015653610229492
maze-32-32-2,17,25,25,0,0.374,3075,122,0.11396551132202148
maze-32-32-2,18,25,25,0,0.374,,,
maze-32-32-2,19,25,25,0,0.374,3475,138,0.13095307350158691
maze-32-32-2,20,25,25,0,0.374,,,
maze-32-32-2,21,25,25,0,0.374,,,
maze-32-32-2,22,25,25,0,0.374,3325,132,0.12523984909057617
maze-32-32-2,23,25,25,0,0.374,,,
maze-32-32-2,24,25,25,0,0.374,2850,113,0.10779190063476562
maze-32-32-2,25,25,25,0,0.374,2950,117,0.11193156242370605
maze-32-32-2,1,50,25,25,0.398,6800,135,0.39518260955810547
maze-32-32-2,2,50,25,25,0.398,7250,144,0.42836737632751465
maze-32-32-2,3,50,25,25,0.398,6950,138,0.40750718116760254
maze-32-32-2,4,50,25,25,0.398,5850,116,0.3461425304412842
maze-32-32-2,5,50,25,25,0.398,5750,114,0.3379335403442383
maze-32-32-2,6,50,25,25,0.398,6500,129,0.38064002990722656
maze-32-32-2,7,50,25,25,0.398,7800,155,0.46153736114501953
maze-32-32-2,8,50,25,25,0.398,6050,120,0.35506725311279297
maze-32-32-2,9,50,25,25,0.398,5900,117,0.34970808029174805
maze-32-32-2,10,50,25,25,0.398,6400,127,0.3738422393798828
maze-32-32-2,11,50,25,25,0.398,6250,124,0.3672490119934082
maze-32-32-2,12,50,25,25,0.398,6250,124,0.3659200668334961
maze-32-32-2,13,50,25,25,0.398,6050,120,0.35453271865844727
maze-32-32-2,14,50,25,25,0.398,5400,107,0.32126760482788086
maze-32-32-2,15,50,25,25,0.398,,,
maze-32-32-2,16,50,25,25,0.398,5450,108,0.32128214836120605
maze-32-32-2,17,50,25,25,0.398,6200,123,0.3632230758666992
maze-32-32-2,18,50,25,25,0.398,,,
maze-32-32-2,19,50,25,25,0.398,7100,141,0.41768860816955566
maze-32-32-2,20,50,25,25,0.398,,,
maze-32-32-2,21,50,25,25,0.398,,,
maze-32-32-2,22,50,25,25,0.398,6500,129,0.38704466819763184
maze-32-32-2,23,50,25,25,0.398,,,
maze-32-32-2,24,50,25,25,0.398,5700,113,0.33891844749450684
maze-32-32-2,25,50,25,25,0.398,5750,114,0.33948755264282227
maze-32-32-2,1,75,25,50,0.423,10200,135,0.8250350952148438
maze-32-32-2,2,75,25,50,0.423,10725,142,0.8896522521972656
maze-32-32-2,3,75,25,50,0.423,9975,132,0.8059415817260742
maze-32-32-2,4,75,25,50,0.423,9300,123,0.7558190822601318
maze-32-32-2,5,75,25,50,0.423,8625,114,0.6960773468017578
maze-32-32-2,6,75,25,50,0.423,10200,135,0.8244671821594238
maze-32-32-2,7,75,25,50,0.423,11325,150,0.9223973751068115
maze-32-32-2,8,75,25,50,0.423,8325,110,0.6745486259460449
maze-32-32-2,9,75,25,50,0.423,8850,117,0.7286334037780762
maze-32-32-2,10,75,25,50,0.423,9600,127,0.7775819301605225
maze-32-32-2,11,75,25,50,0.423,9000,119,0.738074541091919
maze-32-32-2,12,75,25,50,0.423,9375,124,0.7593722343444824
maze-32-32-2,13,75,25,50,0.423,8550,113,0.6943461894989014
maze-32-32-2,14,75,25,50,0.423,8100,107,0.6605038642883301
maze-32-32-2,15,75,25,50,0.423,,,
maze-32-32-2,16,75,25,50,0.423,8400,111,0.6987171173095703
maze-32-32-2,17,75,25,50,0.423,8850,117,0.7168986797332764
maze-32-32-2,18,75,25,50,0.423,,,
maze-32-32-2,19,75,25,50,0.423,11025,146,0.8975229263305664
maze-32-32-2,20,75,25,50,0.423,,,
maze-32-32-2,21,75,25,50,0.423,,,
maze-32-32-2,22,75,25,50,0.423,10200,135,0.8379089832305908
maze-32-32-2,23,75,25,50,0.423,,,
maze-32-32-2,24,75,25,50,0.423,8550,113,0.691779613494873
maze-32-32-2,25,75,25,50,0.423,9000,119,0.7288715839385986
maze-32-32-2,1,100,25,75,0.447,13200,131,1.3641204833984375
maze-32-32-2,2,100,25,75,0.447,14100,140,1.461491584777832
maze-32-32-2,3,100,25,75,0.447,14200,141,1.4961533546447754
