map_name,scenario_index,total_agents,active_agents,inactive_agents,density,SOC,makespan,runtime
maze-32-32-2,1,25,25,0,0.374,3225,129,8.877805709838867
maze-32-32-2,2,25,25,0,0.374,3700,148,0.9777071475982666
maze-32-32-2,3,25,25,0,0.374,3275,131,6.82291054725647
maze-32-32-2,4,25,25,0,0.374,,,
maze-32-32-2,5,25,25,0,0.374,2875,115,6.006640434265137
maze-32-32-2,6,25,25,0,0.374,3175,127,0.6148772239685059
maze-32-32-2,7,25,25,0,0.374,3475,139,2.317506790161133
maze-32-32-2,8,25,25,0,0.374,2850,114,2.1919126510620117
maze-32-32-2,9,25,25,0,0.374,3100,124,15.014602899551392
maze-32-32-2,10,25,25,0,0.374,,,
maze-32-32-2,11,25,25,0,0.374,3025,121,7.009990692138672
maze-32-32-2,12,25,25,0,0.374,3150,126,0.13414263725280762
maze-32-32-2,13,25,25,0,0.374,2825,113,21.450953483581543
maze-32-32-2,14,25,25,0,0.374,3075,123,4.178904056549072
maze-32-32-2,15,25,25,0,0.374,2800,112,10.11786675453186
maze-32-32-2,16,25,25,0,0.374,2800,112,12.834589004516602
maze-32-32-2,17,25,25,0,0.374,3375,135,0.5653061866760254
maze-32-32-2,18,25,25,0,0.374,3050,122,4.481752395629883
maze-32-32-2,19,25,25,0,0.374,3400,136,28.35358500480652
maze-32-32-2,20,25,25,0,0.374,,,
maze-32-32-2,21,25,25,0,0.374,2525,101,7.641133546829224
maze-32-32-2,22,25,25,0,0.374,3300,132,13.795720338821411
maze-32-32-2,23,25,25,0,0.374,,,
maze-32-32-2,24,25,25,0,0.374,2900,116,3.1034798622131348
maze-32-32-2,25,25,25,0,0.374,3075,123,5.376050233840942
maze-32-32-2,1,50,25,25,0.398,6900,138,16.5549213886261
maze-32-32-2,2,50,25,25,0.398,7400,148,17.18403959274292
maze-32-32-2,3,50,25,25,0.398,6550,131,29.421361923217773
maze-32-32-2,4,50,25,25,0.398,,,
maze-32-32-2,5,50,25,25,0.398,5750,115,25.384000778198242
maze-32-32-2,6,50,25,25,0.398,,,
maze-32-32-2,7,50,25,25,0.398,,,
maze-32-32-2,8,50,25,25,0.398,,,
maze-32-32-2,9,50,25,25,0.398,,,
maze-32-32-2,10,50,25,25,0.398,,,
maze-32-32-2,11,50,25,25,0.398,,,
maze-32-32-2,12,50,25,25,0.398,6300,126,9.241652250289917
maze-32-32-2,13,50,25,25,0.398,,,
maze-32-32-2,14,50,25,25,0.398,6150,123,24.41214370727539
maze-32-32-2,15,50,25,25,0.398,,,
maze-32-32-2,16,50,25,25,0.398,,,
maze-32-32-2,17,50,25,25,0.398,6750,135,11.23336124420166
maze-32-32-2,18,50,25,25,0.398,6100,122,5.7455055713653564
maze-32-32-2,19,50,25,25,0.398,,,
maze-32-32-2,20,50,25,25,0.398,,,
maze-32-32-2,21,50,25,25,0.398,5050,101,18.62800097465515
maze-32-32-2,22,50,25,25,0.398,,,
maze-32-32-2,23,50,25,25,0.398,,,
maze-32-32-2,24,50,25,25,0.398,5800,116,15.570403099060059
maze-32-32-2,25,50,25,25,0.398,6150,123,19.864320516586304
maze-32-32-2,1,75,25,50,0.423,,,
maze-32-32-2,2,75,25,50,0.423,11100,148,22.46212339401245
maze-32-32-2,3,75,25,50,0.423,,,
maze-32-32-2,4,75,25,50,0.423,,,
maze-32-32-2,5,75,25,50,0.423,,,
maze-32-32-2,6,75,25,50,0.423,,,
