map_name,scenario_index,total_agents,active_agents,inactive_agents,density,SOC,makespan,runtime
random-32-32-20,1,25,25,0,0.225,1275,50,0.04822659492492676
random-32-32-20,2,25,25,0,0.225,1175,46,0.043714284896850586
random-32-32-20,3,25,25,0,0.225,1300,51,0.04764747619628906
random-32-32-20,4,25,25,0,0.225,1050,41,0.03853917121887207
random-32-32-20,5,25,25,0,0.225,950,37,0.03524613380432129
random-32-32-20,6,25,25,0,0.225,1075,42,0.040381669998168945
random-32-32-20,7,25,25,0,0.225,1050,41,0.03991365432739258
random-32-32-20,8,25,25,0,0.225,1200,47,0.0473175048828125
random-32-32-20,9,25,25,0,0.225,1050,41,0.039727210998535156
random-32-32-20,10,25,25,0,0.225,1300,51,0.04841423034667969
random-32-32-20,11,25,25,0,0.225,1175,46,0.04474472999572754
random-32-32-20,12,25,25,0,0.225,1200,47,0.0439908504486084
random-32-32-20,13,25,25,0,0.225,1125,44,0.04192519187927246
random-32-32-20,14,25,25,0,0.225,1000,39,0.03811001777648926
random-32-32-20,15,25,25,0,0.225,1200,47,0.04474997520446777
random-32-32-20,16,25,25,0,0.225,1125,44,0.04168272018432617
random-32-32-20,17,25,25,0,0.225,1525,60,0.05504131317138672
random-32-32-20,18,25,25,0,0.225,1150,45,0.04297184944152832
random-32-32-20,19,25,25,0,0.225,1075,42,0.03964948654174805
random-32-32-20,20,25,25,0,0.225,1250,49,0.046326398849487305
random-32-32-20,21,25,25,0,0.225,1325,52,0.04983258247375488
random-32-32-20,22,25,25,0,0.225,1150,45,0.043724775314331055
random-32-32-20,23,25,25,0,0.225,1025,40,0.03808307647705078
random-32-32-20,24,25,25,0,0.225,1025,40,0.039351463317871094
random-32-32-20,25,25,25,0,0.225,1175,46,0.04310321807861328
random-32-32-20,1,50,25,25,0.249,2650,52,0.15590310096740723
random-32-32-20,2,50,25,25,0.249,2300,45,0.1351490020751953
random-32-32-20,3,50,25,25,0.249,2300,45,0.1346280574798584
random-32-32-20,4,50,25,25,0.249,2100,41,0.12301158905029297
random-32-32-20,5,50,25,25,0.249,2050,40,0.11892890930175781
random-32-32-20,6,50,25,25,0.249,2150,42,0.12627577781677246
random-32-32-20,7,50,25,25,0.249,2100,41,0.12283110618591309
random-32-32-20,8,50,25,25,0.249,2200,43,0.13031387329101562
random-32-32-20,9,50,25,25,0.249,2100,41,0.12380480766296387
random-32-32-20,10,50,25,25,0.249,2900,57,0.16854333877563477
random-32-32-20,11,50,25,25,0.249,2500,49,0.14560484886169434
random-32-32-20,12,50,25,25,0.249,2400,47,0.14098167419433594
random-32-32-20,13,50,25,25,0.249,2250,44,0.13487744331359863
random-32-32-20,14,50,25,25,0.249,2000,39,0.11806249618530273
random-32-32-20,15,50,25,25,0.249,2550,50,0.14933156967163086
random-32-32-20,16,50,25,25,0.249,2200,43,0.1305234432220459
random-32-32-20,17,50,25,25,0.249,2850,56,0.16510891914367676
random-32-32-20,18,50,25,25,0.249,2300,45,0.13425493240356445
random-32-32-20,19,50,25,25,0.249,2150,42,0.12465095520019531
random-32-32-20,20,50,25,25,0.249,2450,48,0.14304471015930176
random-32-32-20,21,50,25,25,0.249,2600,51,0.15426921844482422
random-32-32-20,22,50,25,25,0.249,2300,45,0.13369965553283691
random-32-32-20,23,50,25,25,0.249,2050,40,0.12130618095397949
random-32-32-20,24,50,25,25,0.249,2050,40,0.1208350658416748
random-32-32-20,25,50,25,25,0.249,2300,45,0.1372826099395752
random-32-32-20,1,75,25,50,0.273,3825,50,0.3194131851196289
random-32-32-20,2,75,25,50,0.273,3450,45,0.2782430648803711
random-32-32-20,3,75,25,50,0.273,3450,45,0.28364014625549316
random-32-32-20,4,75,25,50,0.273,3300,43,0.26996517181396484
