map_name,scenario_index,total_agents,active_agents,inactive_agents,density,SOC,makespan,runtime
room-32-32-4,1,25,25,0,0.358,1475,58,0.05582308769226074
room-32-32-4,2,25,25,0,0.358,1325,52,0.04964184761047363
room-32-32-4,3,25,25,0,0.358,1375,54,0.05161881446838379
room-32-32-4,4,25,25,0,0.358,,,
room-32-32-4,5,25,25,0,0.358,1550,61,0.05891680717468262
room-32-32-4,6,25,25,0,0.358,1400,55,0.05205535888671875
room-32-32-4,7,25,25,0,0.358,1325,52,0.05043482780456543
room-32-32-4,8,25,25,0,0.358,1425,56,0.054474830627441406
room-32-32-4,9,25,25,0,0.358,1375,54,0.05368661880493164
room-32-32-4,10,25,25,0,0.358,1700,67,0.0639197826385498
room-32-32-4,11,25,25,0,0.358,,,
room-32-32-4,12,25,25,0,0.358,1425,56,0.05416440963745117
room-32-32-4,13,25,25,0,0.358,1325,52,0.049747467041015625
room-32-32-4,14,25,25,0,0.358,1475,58,0.055635929107666016
room-32-32-4,15,25,25,0,0.358,1200,47,0.04470372200012207
room-32-32-4,16,25,25,0,0.358,1075,42,0.040316104888916016
room-32-32-4,17,25,25,0,0.358,975,38,0.037796974182128906
room-32-32-4,18,25,25,0,0.358,1125,44,0.04258584976196289
room-32-32-4,19,25,25,0,0.358,1100,43,0.041477203369140625
room-32-32-4,20,25,25,0,0.358,1525,60,0.05828666687011719
room-32-32-4,21,25,25,0,0.358,1425,56,0.053032875061035156
room-32-32-4,22,25,25,0,0.358,1100,43,0.042084455490112305
room-32-32-4,23,25,25,0,0.358,1500,59,0.05547142028808594
room-32-32-4,24,25,25,0,0.358,1450,57,0.05381035804748535
room-32-32-4,25,25,25,0,0.358,,,
room-32-32-4,1,50,25,25,0.383,2650,52,0.15895843505859375
room-32-32-4,2,50,25,25,0.383,2800,55,0.16667819023132324
room-32-32-4,3,50,25,25,0.383,2950,58,0.1768169403076172
room-32-32-4,4,50,25,25,0.383,,,
room-32-32-4,5,50,25,25,0.383,3150,62,0.18756937980651855
room-32-32-4,6,50,25,25,0.383,2700,53,0.16139698028564453
room-32-32-4,7,50,25,25,0.383,2650,52,0.1559309959411621
room-32-32-4,8,50,25,25,0.383,2850,56,0.17116117477416992
room-32-32-4,9,50,25,25,0.383,2800,55,0.16937756538391113
room-32-32-4,10,50,25,25,0.383,3300,65,0.19803977012634277
room-32-32-4,11,50,25,25,0.383,,,
room-32-32-4,12,50,25,25,0.383,2750,54,0.16282892227172852
room-32-32-4,13,50,25,25,0.383,2650,52,0.16139936447143555
room-32-32-4,14,50,25,25,0.383,2950,58,0.17549848556518555
room-32-32-4,15,50,25,25,0.383,2400,47,0.14403510093688965
room-32-32-4,16,50,25,25,0.383,2300,45,0.13914728164672852
room-32-32-4,17,50,25,25,0.383,2050,40,0.1209263801574707
room-32-32-4,18,50,25,25,0.383,2350,46,0.13859224319458008
room-32-32-4,19,50,25,25,0.383,2150,42,0.1274394989013672
room-32-32-4,20,50,25,25,0.383,3200,63,0.19005060195922852
room-32-32-4,21,50,25,25,0.383,2750,54,0.16415905952453613
room-32-32-4,22,50,25,25,0.383,2350,46,0.1387491226196289
room-32-32-4,23,50,25,25,0.383,3000,59,0.1766495704650879
room-32-32-4,24,50,25,25,0.383,2750,54,0.16166067123413086
room-32-32-4,25,50,25,25,0.383,,,
room-32-32-4,1,75,25,50,0.407,4425,58,0.3581230640411377
room-32-32-4,2,75,25,50,0.407,3900,51,0.3165597915649414
room-32-32-4,3,75,25,50,0.407,4125,54,0.33829236030578613
room-32-32-4,4,75,25,50,0.407,3750,49,0.30613231658935547
room-32-32-4,5,75,25,50,0.407,4950,65,0.402224063873291
room-32-32-4,6,75,25,50,0.407,4050,53,0.3311300277709961
