map_name,scenario_index,total_agents,active_agents,inactive_agents,density,SOC,makespan,runtime
room-32-32-4,1,25,25,0,0.358,1225,49,0.08858346939086914
room-32-32-4,2,25,25,0,0.358,1325,53,1.487781047821045
room-32-32-4,3,25,25,0,0.358,1375,55,2.2465898990631104
room-32-32-4,4,25,25,0,0.358,1225,49,0.2652759552001953
room-32-32-4,5,25,25,0,0.358,1375,55,0.08946371078491211
room-32-32-4,6,25,25,0,0.358,1250,50,0.07390785217285156
room-32-32-4,7,25,25,0,0.358,1325,53,0.05122709274291992
room-32-32-4,8,25,25,0,0.358,1500,60,0.28985142707824707
room-32-32-4,9,25,25,0,0.358,1375,55,0.3867027759552002
room-32-32-4,10,25,25,0,0.358,1175,47,0.7639346122741699
room-32-32-4,11,25,25,0,0.358,1375,55,1.0964717864990234
room-32-32-4,12,25,25,0,0.358,1350,54,0.4855222702026367
room-32-32-4,13,25,25,0,0.358,1275,51,0.051148414611816406
room-32-32-4,14,25,25,0,0.358,1625,65,1.5700178146362305
room-32-32-4,15,25,25,0,0.358,1200,48,0.05329012870788574
room-32-32-4,16,25,25,0,0.358,1225,49,0.2856454849243164
room-32-32-4,17,25,25,0,0.358,975,39,0.1307814121246338
room-32-32-4,18,25,25,0,0.358,1075,43,0.15649175643920898
room-32-32-4,19,25,25,0,0.358,1225,49,0.10765957832336426
room-32-32-4,20,25,25,0,0.358,1425,57,0.17411541938781738
room-32-32-4,21,25,25,0,0.358,1275,51,0.6579382419586182
room-32-32-4,22,25,25,0,0.358,1100,44,0.08536696434020996
room-32-32-4,23,25,25,0,0.358,1450,58,0.18349337577819824
room-32-32-4,24,25,25,0,0.358,1425,57,0.11968803405761719
room-32-32-4,25,25,25,0,0.358,1525,61,0.42493510246276855
room-32-32-4,1,50,25,25,0.383,2450,49,0.7104268074035645
room-32-32-4,2,50,25,25,0.383,3100,62,20.24085760116577
room-32-32-4,3,50,25,25,0.383,2750,55,16.14798879623413
room-32-32-4,4,50,25,25,0.383,2450,49,1.1314680576324463
room-32-32-4,5,50,25,25,0.383,2750,55,1.24003267288208
room-32-32-4,6,50,25,25,0.383,2500,50,0.7938122749328613
room-32-32-4,7,50,25,25,0.383,2650,53,0.17116641998291016
room-32-32-4,8,50,25,25,0.383,4650,93,28.317780256271362
room-32-32-4,9,50,25,25,0.383,2750,55,1.1320250034332275
room-32-32-4,10,50,25,25,0.383,2350,47,1.074336290359497
room-32-32-4,11,50,25,25,0.383,2550,51,4.305967807769775
room-32-32-4,12,50,25,25,0.383,2700,54,1.3032071590423584
room-32-32-4,13,50,25,25,0.383,2550,51,0.17613816261291504
room-32-32-4,14,50,25,25,0.383,3250,65,2.4622981548309326
room-32-32-4,15,50,25,25,0.383,2400,48,0.2734050750732422
room-32-32-4,16,50,25,25,0.383,2450,49,1.3255672454833984
room-32-32-4,17,50,25,25,0.383,1950,39,0.2755255699157715
room-32-32-4,18,50,25,25,0.383,2150,43,0.4883294105529785
