map_name,scenario_index,total_agents,active_agents,inactive_agents,density,SOC,makespan,runtime
maze-32-32-2,1,25,25,0,0.3740234375,3725.0,148.0,0.0608446598052978
maze-32-32-2,2,25,25,0,0.3740234375,3550.0,141.0,0.0628855228424072
maze-32-32-2,3,25,25,0,0.3740234375,3475.0,138.0,0.0594449043273925
maze-32-32-2,4,25,25,0,0.3740234375,3425.0,136.0,0.0621054172515869
maze-32-32-2,5,25,25,0,0.3740234375,3300.0,131.0,0.0593752861022949
maze-32-32-2,6,25,25,0,0.3740234375,3525.0,140.0,0.0548763275146484
maze-32-32-2,7,25,25,0,0.3740234375,4375.0,174.0,0.0672802925109863
maze-32-32-2,8,25,25,0,0.3740234375,2775.0,110.0,0.047708511352539
maze-32-32-2,9,25,25,0,0.3740234375,2975.0,118.0,0.0518052577972412
maze-32-32-2,10,25,25,0,0.3740234375,3675.0,146.0,0.0621984004974365
maze-32-32-2,11,25,25,0,0.3740234375,3250.0,129.0,0.055077314376831
maze-32-32-2,12,25,25,0,0.3740234375,3300.0,131.0,0.055295705795288
maze-32-32-2,13,25,25,0,0.3740234375,3650.0,145.0,0.0623481273651123
maze-32-32-2,14,25,25,0,0.3740234375,2700.0,107.0,0.0581440925598144
maze-32-32-2,15,25,25,0,0.3740234375,2750.0,109.0,0.0478231906890869
maze-32-32-2,16,25,25,0,0.3740234375,2775.0,110.0,0.0488505363464355
maze-32-32-2,17,25,25,0,0.3740234375,3400.0,135.0,0.0568931102752685
maze-32-32-2,18,25,25,0,0.3740234375,3075.0,122.0,0.0518724918365478
maze-32-32-2,19,25,25,0,0.3740234375,4175.0,166.0,0.0683314800262451
maze-32-32-2,20,25,25,0,0.3740234375,3425.0,136.0,0.0600256919860839
maze-32-32-2,21,25,25,0,0.3740234375,2825.0,112.0,0.0536572933197021
maze-32-32-2,22,25,25,0,0.3740234375,3600.0,143.0,0.0676329135894775
maze-32-32-2,23,25,25,0,0.3740234375,3425.0,136.0,0.0553476810455322
maze-32-32-2,24,25,25,0,0.3740234375,2850.0,113.0,0.0520739555358886
maze-32-32-2,25,25,25,0,0.3740234375,3375.0,134.0,0.0628156661987304
maze-32-32-2,1,50,25,25,0.3984375,7450.0,148.0,0.0916712284088134
maze-32-32-2,2,50,25,25,0.3984375,7100.0,141.0,0.096257209777832
maze-32-32-2,3,50,25,25,0.3984375,6650.0,132.0,0.0854890346527099
maze-32-32-2,4,50,25,25,0.3984375,6450.0,128.0,0.088052749633789
maze-32-32-2,5,50,25,25,0.3984375,6700.0,133.0,0.091663122177124
maze-32-32-2,6,50,25,25,0.3984375,7100.0,141.0,0.0848000049591064
maze-32-32-2,7,50,25,25,0.3984375,10350.0,206.0,0.1152729988098144
maze-32-32-2,8,50,25,25,0.3984375,5550.0,110.0,0.0718050003051757
maze-32-32-2,9,50,25,25,0.3984375,5950.0,118.0,0.0813047885894775
maze-32-32-2,10,50,25,25,0.3984375,7350.0,146.0,0.0891163349151611
maze-32-32-2,11,50,25,25,0.3984375,6500.0,129.0,0.0862469673156738
maze-32-32-2,12,50,25,25,0.3984375,6600.0,131.0,0.0842342376708984
maze-32-32-2,13,50,25,25,0.3984375,7600.0,151.0,0.099416971206665
maze-32-32-2,14,50,25,25,0.3984375,5400.0,107.0,0.0849683284759521
maze-32-32-2,15,50,25,25,0.3984375,5500.0,109.0,0.0709257125854492
maze-32-32-2,16,50,25,25,0.3984375,6050.0,120.0,0.0808022022247314
maze-32-32-2,17,50,25,25,0.3984375,6800.0,135.0,0.0854735374450683
maze-32-32-2,18,50,25,25,0.3984375,6150.0,122.0,0.0761547088623046
maze-32-32-2,19,50,25,25,0.3984375,8350.0,166.0,0.1058857440948486
maze-32-32-2,20,50,25,25,0.3984375,6850.0,136.0,0.0905430316925048
maze-32-32-2,21,50,25,25,0.3984375,5650.0,112.0,0.0780777931213378
maze-32-32-2,22,50,25,25,0.3984375,8100.0,161.0,0.1069874763488769
maze-32-32-2,23,50,25,25,0.3984375,7100.0,141.0,0.0920441150665283
maze-32-32-2,24,50,25,25,0.3984375,5700.0,113.0,0.080003023147583
maze-32-32-2,25,50,25,25,0.3984375,6700.0,133.0,0.0949997901916503
maze-32-32-2,1,75,25,50,0.4228515625,11400.0,151.0,0.1218605041503906
maze-32-32-2,2,75,25,50,0.4228515625,10650.0,141.0,0.1266841888427734
maze-32-32-2,3,75,25,50,0.4228515625,9975.0,132.0,0.1152851581573486
maze-32-32-2,4,75,25,50,0.4228515625,9675.0,128.0,0.1167881488800048
maze-32-32-2,5,75,25,50,0.4228515625,10050.0,133.0,0.1185503005981445
maze-32-32-2,6,75,25,50,0.4228515625,11700.0,155.0,0.1184866428375244
maze-32-32-2,7,75,25,50,0.4228515625,15675.0,208.0,0.1594772338867187
maze-32-32-2,8,75,25,50,0.4228515625,8325.0,110.0,0.0959761142730712
maze-32-32-2,9,75,25,50,0.4228515625,9075.0,120.0,0.1073412895202636
maze-32-32-2,10,75,25,50,0.4228515625,11700.0,155.0,0.1255948543548584
maze-32-32-2,11,75,25,50,0.4228515625,9975.0,132.0,0.1150808334350586
maze-32-32-2,12,75,25,50,0.4228515625,12225.0,162.0,0.128141164779663
maze-32-32-2,13,75,25,50,0.4228515625,11175.0,148.0,0.128476858139038
maze-32-32-2,14,75,25,50,0.4228515625,8100.0,107.0,0.1064724922180175
maze-32-32-2,15,75,25,50,0.4228515625,8250.0,109.0,0.0947127342224121
maze-32-32-2,16,75,25,50,0.4228515625,8250.0,109.0,0.0997066497802734
maze-32-32-2,17,75,25,50,0.4228515625,10725.0,142.0,0.1145291328430175
maze-32-32-2,18,75,25,50,0.4228515625,9375.0,124.0,0.1013000011444091
maze-32-32-2,19,75,25,50,0.4228515625,12300.0,163.0,0.1451489925384521
maze-32-32-2,20,75,25,50,0.4228515625,10725.0,142.0,0.1203253269195556
maze-32-32-2,21,75,25,50,0.4228515625,8775.0,116.0,0.1069803237915039
maze-32-32-2,22,75,25,50,0.4228515625,11775.0,156.0,0.1401381492614746
maze-32-32-2,23,75,25,50,0.4228515625,10350.0,137.0,0.1150407791137695
maze-32-32-2,24,75,25,50,0.4228515625,8550.0,113.0,0.1034309864044189
maze-32-32-2,25,75,25,50,0.4228515625,10275.0,136.0,0.1224167346954345
maze-32-32-2,1,100,25,75,0.447265625,15200.0,151.0,0.1537468433380127
maze-32-32-2,2,100,25,75,0.447265625,14200.0,141.0,0.1589343547821045
maze-32-32-2,3,100,25,75,0.447265625,13300.0,132.0,0.1447517871856689
maze-32-32-2,4,100,25,75,0.447265625,12900.0,128.0,0.1443328857421875
maze-32-32-2,5,100,25,75,0.447265625,13400.0,133.0,0.1453108787536621
maze-32-32-2,6,100,25,75,0.447265625,14400.0,143.0,0.1424670219421386
maze-32-32-2,7,100,25,75,0.447265625,21200.0,211.0,0.2086946964263916
maze-32-32-2,8,100,25,75,0.447265625,11800.0,117.0,0.1248486042022705
maze-32-32-2,9,100,25,75,0.447265625,12100.0,120.0,0.1324756145477295
maze-32-32-2,10,100,25,75,0.447265625,14700.0,146.0,0.1479158401489257
maze-32-32-2,11,100,25,75,0.447265625,13300.0,132.0,0.1409845352172851
maze-32-32-2,12,100,25,75,0.447265625,15600.0,155.0,0.1579506397247314
maze-32-32-2,13,100,25,75,0.447265625,14600.0,145.0,0.1598803997039795
maze-32-32-2,14,100,25,75,0.447265625,12400.0,123.0,0.1457931995391845
maze-32-32-2,15,100,25,75,0.447265625,12700.0,126.0,0.1302664279937744
maze-32-32-2,16,100,25,75,0.447265625,12900.0,128.0,0.1360645294189453
maze-32-32-2,17,100,25,75,0.447265625,15400.0,153.0,0.152677297592163
maze-32-32-2,18,100,25,75,0.447265625,15700.0,156.0,0.1477060317993164
maze-32-32-2,19,100,25,75,0.447265625,16300.0,162.0,0.1802783012390136
maze-32-32-2,20,100,25,75,0.447265625,14800.0,147.0,0.1554288864135742
maze-32-32-2,21,100,25,75,0.447265625,11600.0,115.0,0.1364552974700927
maze-32-32-2,22,100,25,75,0.447265625,15800.0,157.0,0.174515962600708
