map_name,scenario_index,total_agents,active_agents,inactive_agents,density,SOC,makespan,runtime
maze-32-32-2,1,25,25,0,0.374,3250.0,129.0,0.1209552288055419
maze-32-32-2,2,25,25,0,0.374,3575.0,142.0,0.135549783706665
maze-32-32-2,3,25,25,0,0.374,3325.0,132.0,0.1247954368591308
maze-32-32-2,4,25,25,0,0.374,2975.0,118.0,0.1117358207702636
maze-32-32-2,5,25,25,0,0.374,2875.0,114.0,0.1070859432220459
maze-32-32-2,6,25,25,0,0.374,3250.0,129.0,0.1180176734924316
maze-32-32-2,7,25,25,0,0.374,4200.0,167.0,0.153489351272583
maze-32-32-2,8,25,25,0,0.374,2900.0,115.0,0.1088092327117919
maze-32-32-2,9,25,25,0,0.374,2950.0,117.0,0.1093149185180664
maze-32-32-2,10,25,25,0,0.374,3300.0,131.0,0.119880199432373
maze-32-32-2,11,25,25,0,0.374,3100.0,123.0,0.1154010295867919
maze-32-32-2,12,25,25,0,0.374,3325.0,132.0,0.122143268585205
maze-32-32-2,13,25,25,0,0.374,2825.0,112.0,0.1048297882080078
maze-32-32-2,14,25,25,0,0.374,2700.0,107.0,0.1033954620361328
maze-32-32-2,15,25,25,0,0.374,,,
maze-32-32-2,16,25,25,0,0.374,2975.0,118.0,0.1101565361022949
maze-32-32-2,17,25,25,0,0.374,3075.0,122.0,0.1139655113220214
maze-32-32-2,18,25,25,0,0.374,,,
maze-32-32-2,19,25,25,0,0.374,3475.0,138.0,0.1309530735015869
maze-32-32-2,20,25,25,0,0.374,,,
maze-32-32-2,21,25,25,0,0.374,,,
maze-32-32-2,22,25,25,0,0.374,3325.0,132.0,0.1252398490905761
maze-32-32-2,23,25,25,0,0.374,,,
maze-32-32-2,24,25,25,0,0.374,2850.0,113.0,0.1077919006347656
maze-32-32-2,25,25,25,0,0.374,2950.0,117.0,0.111931562423706
maze-32-32-2,1,50,25,25,0.398,6800.0,135.0,0.3951826095581054
maze-32-32-2,2,50,25,25,0.398,7250.0,144.0,0.4283673763275146
maze-32-32-2,3,50,25,25,0.398,6950.0,138.0,0.4075071811676025
maze-32-32-2,4,50,25,25,0.398,5850.0,116.0,0.3461425304412842
maze-32-32-2,5,50,25,25,0.398,5750.0,114.0,0.3379335403442383
maze-32-32-2,6,50,25,25,0.398,6500.0,129.0,0.3806400299072265
maze-32-32-2,7,50,25,25,0.398,7800.0,155.0,0.4615373611450195
maze-32-32-2,8,50,25,25,0.398,6050.0,120.0,0.3550672531127929
maze-32-32-2,9,50,25,25,0.398,5900.0,117.0,0.349708080291748
maze-32-32-2,10,50,25,25,0.398,6400.0,127.0,0.3738422393798828
maze-32-32-2,11,50,25,25,0.398,6250.0,124.0,0.3672490119934082
maze-32-32-2,12,50,25,25,0.398,6250.0,124.0,0.3659200668334961
maze-32-32-2,13,50,25,25,0.398,6050.0,120.0,0.3545327186584472
maze-32-32-2,14,50,25,25,0.398,5400.0,107.0,0.3212676048278808
maze-32-32-2,15,50,25,25,0.398,,,
maze-32-32-2,16,50,25,25,0.398,5450.0,108.0,0.321282148361206
maze-32-32-2,17,50,25,25,0.398,6200.0,123.0,0.3632230758666992
maze-32-32-2,18,50,25,25,0.398,,,
