map_name,scenario_index,total_agents,active_agents,inactive_agents,density,SOC,makespan,runtime
maze-32-32-2,1,25,25,0,0.374,3225.0,129.0,8.877805709838867
maze-32-32-2,2,25,25,0,0.374,3700.0,148.0,0.9777071475982666
maze-32-32-2,3,25,25,0,0.374,3275.0,131.0,6.82291054725647
maze-32-32-2,4,25,25,0,0.374,,,
maze-32-32-2,5,25,25,0,0.374,2875.0,115.0,6.006640434265137
maze-32-32-2,6,25,25,0,0.374,3175.0,127.0,0.6148772239685059
maze-32-32-2,7,25,25,0,0.374,3475.0,139.0,2.317506790161133
maze-32-32-2,8,25,25,0,0.374,2850.0,114.0,2.191912651062012
maze-32-32-2,9,25,25,0,0.374,3100.0,124.0,15.014602899551392
maze-32-32-2,10,25,25,0,0.374,,,
maze-32-32-2,11,25,25,0,0.374,3025.0,121.0,7.009990692138672
maze-32-32-2,12,25,25,0,0.374,3150.0,126.0,0.1341426372528076
maze-32-32-2,13,25,25,0,0.374,2825.0,113.0,21.450953483581543
maze-32-32-2,14,25,25,0,0.374,3075.0,123.0,4.178904056549072
maze-32-32-2,15,25,25,0,0.374,2800.0,112.0,10.11786675453186
maze-32-32-2,16,25,25,0,0.374,2800.0,112.0,12.834589004516602
maze-32-32-2,17,25,25,0,0.374,3375.0,135.0,0.5653061866760254
maze-32-32-2,18,25,25,0,0.374,3050.0,122.0,4.481752395629883
maze-32-32-2,19,25,25,0,0.374,3400.0,136.0,28.35358500480652
maze-32-32-2,20,25,25,0,0.374,,,
maze-32-32-2,21,25,25,0,0.374,2525.0,101.0,7.641133546829224
maze-32-32-2,22,25,25,0,0.374,3300.0,132.0,13.795720338821411
maze-32-32-2,23,25,25,0,0.374,,,
maze-32-32-2,24,25,25,0,0.374,2900.0,116.0,3.1034798622131348
maze-32-32-2,25,25,25,0,0.374,3075.0,123.0,5.376050233840942
maze-32-32-2,1,50,25,25,0.398,6900.0,138.0,16.5549213886261
maze-32-32-2,2,50,25,25,0.398,7400.0,148.0,17.18403959274292
maze-32-32-2,3,50,25,25,0.398,6550.0,131.0,29.421361923217773
maze-32-32-2,4,50,25,25,0.398,,,
maze-32-32-2,5,50,25,25,0.398,5750.0,115.0,25.38400077819824
maze-32-32-2,6,50,25,25,0.398,,,
maze-32-32-2,7,50,25,25,0.398,,,
maze-32-32-2,8,50,25,25,0.398,,,
maze-32-32-2,9,50,25,25,0.398,,,
maze-32-32-2,10,50,25,25,0.398,,,
maze-32-32-2,11,50,25,25,0.398,,,
maze-32-32-2,12,50,25,25,0.398,6300.0,126.0,9.241652250289915
maze-32-32-2,13,50,25,25,0.398,,,
maze-32-32-2,14,50,25,25,0.398,6150.0,123.0,24.41214370727539
maze-32-32-2,15,50,25,25,0.398,,,
maze-32-32-2,16,50,25,25,0.398,,,
maze-32-32-2,17,50,25,25,0.398,6750.0,135.0,11.23336124420166
maze-32-32-2,18,50,25,25,0.398,6100.0,122.0,5.7455055713653564
maze-32-32-2,19,50,25,25,0.398,,,
maze-32-32-2,20,50,25,25,0.398,,,
maze-32-32-2,21,50,25,25,0.398,5050.0,101.0,18.62800097465515
