start_x,start_y,goal_x,goal_y
15,2,1,27
5,19,14,20
20,11,1,31
11,17,3,10
19,23,14,31
9,29,31,22
19,2,4,27
23,21,25,4
19,18,5,30
28,3,28,4
20,7,20,25
7,31,16,19
5,2,2,23
16,20,26,13
1,17,22,30
9,2,2,4
12,29,14,1
22,13,11,4
8,1,14,19
28,29,16,4
25,6,27,2
23,29,14,8
22,31,2,22
29,30,26,12
17,30,15,17
3,31,31,27
25,20,31,21
1,19,1,1
9,13,19,22
27,23,28,18
21,16,26,4
25,15,5,29
25,16,22,1
23,25,14,4
25,22,18,4
11,28,8,20
30,31,8,10
8,26,27,26
27,25,29,17
8,22,14,11
3,20,9,14
26,8,17,1
10,31,10,10
4,31,23,13
20,16,2,2
31,6,31,25
28,15,2,21
5,14,21,25
25,10,7,3
20,4,11,19
22,26,19,15
31,5,5,25
1,13,7,7
10,25,10,13
16,16,11,15
13,4,30,1
31,2,28,28
18,1,4,22
31,18,17,31
25,11,13,11
10,2,16,27
13,20,1,10
5,23,7,8
11,26,2,28
10,20,5,16
31,13,20,28
25,17,18,13
16,25,1,5
8,11,23,12
10,1,17,27
18,31,26,25
18,25,29,14
17,21,12,11
9,7,23,17
26,31,26,5
1,15,5,28
19,16,4,10
23,24,6,7
15,25,19,19
1,3,20,10
10,11,28,13
19,25,4,5
4,18,8,3
30,11,8,24
3,8,14,13
27,20,14,14
21,31,4,3
24,14,4,8
12,28,26,11
26,20,28,31
8,25,20,15
11,25,2,7
16,1,28,19
27,19,19,7
5,18,15,26
22,22,24,28
10,8,2,24
23,23,25,29
10,28,7,11
10,23,25,23
21,17,22,10
22,4,13,9
20,26,9,28
5,20,13,1
5,17,22,3
1,7,17,8
28,22,14,7
7,23,17,22
17,14,18,5
8,7,15,7
3,13,13,23
31,23,5,21
13,26,13,25
5,26,28,20
23,28,2,14
20,19,10,19
1,30,22,16
11,30,27,7
29,16,14,5
30,10,1,25
18,10,8,23
29,18,28,7
5,22,17,17
29,25,30,2
10,14,6,23
14,30,1,6
29,20,9,31
2,1,2,6
24,19,29,26
29,15,7,24
16,8,19,26
2,30,7,17
6,8,23,14
25,9,28,8
24,16,24,20
9,23,29,5
31,14,20,9
20,22,13,16
31,1,28,2
31,31,28,5
22,2,19,13
10,7,14,24
31,16,22,28
2,31,1,23
26,6,23,20
13,5,3,19
1,11,11,1
3,5,20,14
29,1,2,5
29,4,23,1
18,19,14,17
7,10,28,16
25,31,31,26
20,17,1,22
25,19,4,19
2,27,13,17
2,10,8,29
2,12,1,20
10,22,11,11
26,2,2,3
31,10,29,11
4,30,19,9
4,21,17,4
17,15,26,15
28,23,22,19
29,29,31,29
26,10,2,16
30,22,18,8
5,13,16,23
31,19,31,28
4,25,5,3
11,6,25,25
26,9,4,28
4,20,1,8
11,2,13,30
22,29,24,13
26,29,13,29
23,31,10,6
23,7,19,17
14,22,12,4
10,15,9,17
15,4,21,26
5,10,9,16
7,4,3,7
31,7,4,29
15,5,15,16
17,28,8,28
19,20,11,10
19,14,17,11
14,10,31,20
23,22,11,5
11,18,10,26
31,17,8,19
22,21,26,14
2,26,22,17
23,2,27,8
18,14,9,26
13,10,23,4
23,19,4,1
20,24,14,23
26,16,10,29
29,10,28,17
20,18,2,15
11,31,17,23
11,20,28,26
30,25,3,14
11,14,6,17
14,25,23,10
30,23,24,29
11,22,7,16
19,4,10,30
8,5,7,25
16,11,30,26
1,26,26,26
22,20,9,5
12,13,22,23
27,31,14,9
13,24,26,27
14,16,25,27
7,19,22,6
16,28,26,28
20,29,1,29
28,25,2,19
9,4,16,10
13,13,10,17
6,16,4,13
24,2,8,2
16,7,25,7
9,22,9,1
23,16,22,14
8,17,2,13
5,1,1,12
25,8,6,14
9,10,2,11
8,4,24,17
11,7,13,8
18,11,29,19
19,28,21,2
7,1,19,29
1,21,12,1
16,30,28,30
6,10,4,7
5,31,23,6
31,24,1,24
23,30,11,8
29,2,23,8
4,23,20,8
19,1,8,31
17,25,5,7
8,8,1,2
5,5,21,28
18,7,1,14
11,23,7,14
12,10,12,2
26,17,1,28
30,14,12,14
13,19,29,22
16,31,22,12
29,7,5,4
31,30,25,1
9,11,27,22
17,2,13,28
26,1,17,29
16,15,19,10
25,2,23,5
10,18,25,14
16,5,21,29
13,18,19,11
19,8,17,10
13,2,7,28
26,23,20,31
9,20,18,2
25,26,25,12
23,11,18,26
6,22,1,4
13,14,17,26
22,7,20,1
22,11,2,29
20,5,3,11
29,8,17,13
26,7,19,24
27,1,8,16
28,14,25,13
12,25,7,2
31,4,22,8
17,5,18,20
11,16,29,23
4,17,31,3
2,8,6,13
15,31,28,11
21,7,25,28
14,29,21,8
8,13,2,20
15,8,14,28
28,1,5,27
14,2,7,5
17,7,13,22
26,19,29,3
7,20,22,25
20,23,9,8
7,22,2,17
16,22,4,4
20,2,16,21
4,11,13,21
11,29,22,24
6,11,4,2
14,18,9,19
4,16,30,13
16,14,10,4
7,29,16,17
7,26,22,5
19,5,14,21
10,16,28,10
14,26,29,28
3,4,23,3
4,26,29,13
8,14,29,31
7,13,2,25
5,11,16,13
15,1,13,7
16,29,17,16
20,13,17,19
17,20,20,20
16,26,26,22
4,14,31,8
16,2,12,26
12,5,1,16
31,12,21,1
25,5,9,25
13,31,23,26
31,11,10,5
24,1,5,8
11,13,19,31
