start_y,start_x,goal_y,goal_x
9,2,26,5
28,1,23,6
26,17,31,1
2,7,2,22
28,23,2,27
31,27,13,16
19,16,13,19
1,13,4,28
15,1,2,26
30,23,13,28
20,25,1,3
29,15,28,8
25,2,28,19
2,29,23,31
30,10,10,25
25,16,30,14
11,2,18,11
23,13,23,23
4,27,10,15
13,31,16,17
29,29,16,2
28,13,13,2
11,19,1,25
22,23,17,22
5,20,23,3
3,13,11,4
9,26,23,17
29,11,26,2
5,10,30,11
5,5,3,20
13,7,26,4
23,21,5,27
15,7,10,11
23,2,2,28
7,23,22,3
16,14,26,29
1,30,25,10
14,24,14,29
8,24,19,5
11,7,14,23
16,8,25,26
29,16,11,1
28,28,23,24
7,10,2,13
14,22,15,16
16,30,7,29
16,15,17,21
29,31,29,25
5,26,16,11
27,8,8,31
12,5,10,6
16,20,1,26
10,30,2,12
12,13,2,14
22,30,1,10
30,13,18,7
5,8,29,17
17,15,2,19
5,7,4,17
31,26,1,14
18,2,22,13
22,22,20,28
26,6,4,19
31,11,18,26
26,15,15,26
28,17,28,3
20,13,5,11
24,20,1,19
31,30,5,30
22,1,17,1
31,21,23,11
17,13,21,8
25,11,19,29
10,18,13,17
20,8,6,8
31,14,8,2
3,8,15,5
7,19,27,1
19,25,4,31
19,14,11,5
22,12,31,23
28,5,5,25
4,20,17,28
26,27,26,20
5,29,8,23
28,31,7,28
26,9,20,11
9,7,17,17
16,13,25,14
11,30,17,23
14,26,21,2
19,22,8,5
16,19,7,31
12,1,22,28
14,7,16,4
21,31,18,13
10,4,19,19
22,10,24,14
2,24,29,28
13,26,6,7
18,4,14,25
26,10,22,19
25,6,23,5
9,10,16,16
30,25,14,28
26,7,9,14
6,23,23,22
19,7,12,4
27,23,19,11
17,4,25,13
2,4,9,5
11,23,28,20
19,20,19,23
6,16,11,17
13,20,19,26
20,23,10,28
22,20,2,15
9,29,10,16
4,14,17,8
15,17,18,5
28,29,2,23
31,6,14,5
5,18,4,29
11,28,6,22
18,8,10,23
19,28,6,10
29,19,24,29
5,19,13,29
28,16,8,7
2,10,15,31
20,17,8,16
8,3,21,1
13,22,1,5
20,16,10,13
8,19,9,19
26,12,14,8
9,16,5,17
10,2,27,19
9,22,14,1
1,2,3,5
7,20,5,4
22,26,25,22
4,16,31,19
26,22,22,2
8,10,25,5
8,13,13,14
25,19,28,7
8,1,10,20
1,16,10,22
27,22,20,18
28,2,5,23
27,25,11,26
25,25,1,28
7,4,25,23
7,1,31,10
25,7,13,1
9,4,26,8
28,10,7,14
11,25,1,24
13,23,30,31
4,11,29,18
1,29,14,4
7,22,17,19
22,5,24,2
17,11,13,13
15,25,29,14
19,17,1,15
2,11,21,16
22,4,6,17
10,1,12,25
19,18,11,29
14,11,29,20
16,31,14,31
3,31,14,13
14,14,31,16
27,2,28,25
22,14,20,19
2,3,8,11
5,21,8,4
28,22,26,23
20,1,20,22
23,16,16,27
9,28,23,1
31,20,31,5
20,15,17,30
20,2,18,14
12,14,28,18
12,2,5,3
16,26,18,10
27,31,28,14
2,17,26,11
8,26,10,19
3,19,1,20
22,6,14,18
9,8,31,24
20,4,31,18
8,29,7,24
1,12,29,5
10,8,7,25
8,20,28,15
9,11,14,16
31,4,11,8
19,2,7,13
9,23,25,28
1,1,2,25
8,22,23,30
15,2,31,29
12,29,16,7
26,14,12,26
1,6,23,26
4,7,2,30
24,13,25,31
2,31,16,22
23,8,20,9
4,23,7,7
11,16,9,25
20,26,20,10
29,8,4,25
23,7,1,31
12,28,28,30
2,8,8,8
1,22,16,29
22,11,8,14
23,25,5,22
26,26,31,7
10,17,1,21
5,16,2,21
23,12,2,2
26,16,16,21
13,9,3,7
11,20,31,17
31,22,17,20
13,24,10,10
29,13,3,4
30,2,14,2
17,26,21,26
4,1,4,8
3,10,20,14
25,20,4,2
5,13,30,22
7,11,19,8
14,20,3,14
5,2,13,25
3,11,4,18
26,13,1,7
19,1,25,12
16,23,1,27
30,26,11,15
29,22,10,14
27,20,14,17
7,17,7,16
7,5,12,10
12,11,7,8
28,4,17,29
31,25,22,25
13,18,26,1
10,31,10,26
25,9,28,11
7,2,29,2
25,1,14,9
19,4,21,28
18,19,11,11
13,10,6,13
17,5,8,25
20,5,8,17
2,6,9,1
28,26,31,28
4,10,26,19
11,22,22,8
17,14,22,21
11,31,20,24
23,29,10,29
27,26,17,16
29,3,16,1
2,5,23,10
2,20,31,12
18,25,20,20
17,7,19,13
1,23,1,11
21,17,21,7
31,13,26,31
11,13,11,6
24,28,5,28
25,27,29,7
4,5,6,11
31,3,31,8
4,21,30,1
29,10,20,7
24,1,13,5
16,28,14,19
15,4,19,15
4,13,29,26
22,7,4,26
13,4,11,14
21,29,21,25
25,17,23,4
26,25,31,31
13,8,15,8
31,2,22,17
8,28,5,31
5,1,27,7
23,28,6,14
14,21,22,16
17,10,9,31
19,9,5,14
24,16,7,3
19,31,9,20
17,31,4,30
18,20,23,14
22,29,16,5
10,7,13,21
26,28,13,11
4,22,16,10
9,17,2,1
11,18,25,4
24,19,29,30
17,27,23,19
11,10,19,24
14,30,22,31
13,30,25,8
4,3,17,2
20,29,18,1
23,20,4,4
25,29,29,1
9,13,25,15
24,17,1,4
20,31,29,4
19,10,29,23
1,17,17,25
16,25,18,31
7,26,1,8
10,5,2,16
22,24,14,10
