start_y,start_x,goal_y,goal_x
27,13,27,7
13,7,1,25
9,31,5,5
21,4,11,7
6,3,9,7
29,31,2,21
17,16,3,31
10,2,10,1
27,12,31,11
20,6,15,3
25,19,14,15
1,11,2,1
13,30,11,23
23,10,11,15
28,0,19,10
25,29,1,12
31,0,0,25
13,9,31,19
3,7,24,10
31,8,31,13
10,24,13,16
23,13,26,18
5,22,15,24
28,16,27,2
26,6,19,13
29,0,22,31
4,25,7,27
10,7,22,16
14,16,22,0
23,22,6,22
4,29,8,13
4,19,30,1
6,29,17,7
27,28,12,28
6,0,4,17
7,16,24,30
0,5,15,13
6,18,13,28
24,20,29,11
10,11,30,15
2,14,28,13
7,5,3,2
26,5,25,7
25,10,21,16
10,21,22,29
1,28,24,9
3,6,30,7
13,5,30,27
16,30,7,0
23,30,19,27
16,4,28,1
24,5,27,26
30,10,28,23
16,6,0,8
14,19,0,4
16,22,6,28
14,7,29,27
23,26,14,22
22,24,14,12
21,3,19,7
16,17,15,6
11,10,31,4
13,2,16,2
11,17,22,28
9,15,6,25
2,2,7,8
4,26,5,30
3,10,29,25
5,10,8,9
20,14,31,27
21,13,17,19
9,20,21,22
17,17,19,23
29,22,19,20
7,6,24,11
20,0,2,15
21,28,27,31
1,8,27,15
18,27,12,23
2,25,20,31
25,17,2,17
6,24,23,3
30,19,10,4
16,24,28,19
13,10,12,8
3,26,11,19
14,25,27,16
31,9,15,18
25,27,20,27
19,24,28,12
25,8,29,16
23,31,25,2
0,15,17,26
28,10,26,3
15,10,9,13
16,11,11,16
2,23,17,28
6,20,26,30
4,5,22,6
2,20,14,20
11,3,9,8
17,1,1,14
26,20,26,16
24,31,5,26
20,18,27,25
11,22,26,4
12,19,10,3
13,22,4,27
4,13,10,10
5,16,11,9
27,0,28,18
10,23,14,17
17,3,25,30
21,8,8,31
4,12,20,29
5,18,15,22
30,24,14,30
9,22,22,9
20,20,6,31
4,8,15,20
15,7,12,0
7,24,13,29
4,6,24,21
7,13,17,20
11,11,10,27
7,20,4,31
8,29,23,5
25,13,14,9
21,2,3,29
7,7,3,23
16,31,10,15
3,22,7,2
1,9,3,17
18,7,27,3
26,31,7,4
11,21,27,14
24,24,26,1
2,7,8,7
6,12,20,30
19,0,14,27
12,7,4,23
12,15,14,0
14,13,8,28
23,18,26,28
5,23,1,22
25,0,19,30
23,25,30,4
