start_x,start_y,goal_x,goal_y
6,0,27,18
2,19,1,22
19,24,13,16
7,31,5,18
20,18,9,4
31,30,30,4
21,22,22,4
27,25,11,12
24,21,22,3
3,18,1,29
26,11,1,24
13,22,7,7
13,24,28,15
4,13,23,3
15,23,4,3
1,15,12,1
31,9,15,8
16,20,28,18
15,10,30,24
6,11,28,16
16,27,24,24
16,28,28,13
29,15,20,25
24,28,18,22
1,28,12,15
22,1,8,4
6,20,10,31
12,21,5,13
19,16,9,15
30,27,20,10
20,22,6,26
14,19,8,25
19,11,19,13
27,16,5,5
1,8,14,8
17,20,16,31
15,14,29,9
8,29,4,15
25,10,23,25
24,14,13,25
6,7,17,31
12,26,5,10
27,27,22,12
2,18,25,2
3,31,3,11
15,3,14,24
0,17,0,11
17,10,27,13
27,19,30,2
18,10,19,15
6,2,17,1
2,25,29,24
21,8,17,22
11,18,1,3
26,16,4,19
18,2,19,25
4,26,9,19
9,3,28,23
15,0,19,31
21,17,1,27
31,23,21,12
20,8,8,8
13,10,12,28
31,16,14,27
1,11,4,29
14,1,20,14
3,21,12,5
25,17,4,25
29,21,19,26
2,31,13,2
29,27,27,8
21,18,25,31
17,13,4,5
14,21,22,14
24,20,10,21
21,30,0,22
24,18,29,1
13,1,3,10
7,28,9,18
28,27,24,9
12,13,19,17
13,29,5,26
27,7,30,1
28,3,20,3
8,14,8,5
11,27,23,27
20,24,4,11
24,5,12,7
6,21,27,2
3,4,26,6
19,2,1,12
18,29,3,15
11,1,8,9
30,8,21,2
25,29,0,14
10,7,30,30
31,2,23,7
16,29,21,3
24,13,30,23
0,25,5,31
24,15,19,8
3,12,4,17
17,23,26,27
10,2,16,21
17,19,21,31
27,14,21,11
29,31,6,31
30,10,7,24
28,28,10,22
3,19,31,31
14,0,5,9
11,10,5,16
10,24,7,29
26,25,27,20
5,21,5,22
29,26,7,17
6,27,25,3
4,20,31,20
15,18,4,30
29,23,24,26
30,26,26,18
10,8,27,31
5,28,8,13
18,8,25,23
26,26,12,29
21,16,28,4
7,10,15,2
11,29,7,12
21,5,15,27
29,30,5,11
13,0,14,7
11,8,25,4
2,24,13,20
18,27,29,8
21,15,27,1
0,20,11,0
25,21,14,22
24,19,16,11
20,20,31,13
9,14,7,19
20,21,3,6
31,11,9,25
14,29,11,15
9,13,4,23
7,14,0,2
9,27,28,26
30,0,9,10
29,19,25,9
17,14,8,3
31,19,28,14
9,0,28,5
18,20,2,13
26,2,16,10
21,14,2,8
23,23,3,2
29,14,2,30
28,30,10,28
26,1,18,12
19,10,25,18
16,13,18,9
30,21,7,0
19,27,23,10
21,20,19,14
9,23,1,9
25,7,5,19
31,8,24,29
30,3,5,24
11,25,20,2
25,27,23,30
6,9,19,19
28,6,5,0
24,25,20,23
8,19,24,12
7,11,9,12
3,25,11,4
20,6,25,30
24,22,28,10
13,8,22,17
17,17,4,8
5,20,28,11
31,0,20,28
21,27,12,23
21,4,0,0
14,23,1,23
29,5,2,7
15,30,29,13
27,3,11,9
17,28,8,30
14,13,19,5
10,11,13,9
0,6,19,7
12,9,5,2
0,13,9,26
25,6,9,28
16,18,14,31
12,17,15,20
26,15,5,25
11,3,18,0
5,17,4,7
16,26,4,27
7,2,28,17
17,30,16,7
3,5,12,0
23,18,0,23
18,15,29,16
25,5,5,4
5,23,2,14
10,27,13,26
23,5,0,19
7,5,9,2
11,13,10,13
15,21,27,0
23,6,24,1
26,20,17,21
17,6,5,8
18,14,30,15
8,11,21,25
0,12,10,4
18,16,9,11
18,5,19,4
10,1,11,31
3,7,23,15
28,8,1,6
14,14,1,19
18,24,23,8
24,7,26,29
13,11,13,21
6,22,3,0
15,22,11,23
9,31,19,21
26,17,9,8
5,12,26,28
19,12,23,4
10,30,10,15
2,26,11,21
12,25,10,5
8,18,11,20
17,5,16,14
14,15,25,28
0,5,3,26
17,16,16,12
0,15,31,10
1,5,31,4
3,17,24,3
23,9,31,14
26,14,30,20
19,0,5,1
14,18,28,19
16,3,0,7
26,0,15,11
7,9,7,16
26,22,6,15
13,18,24,11
3,8,12,8
22,0,22,29
17,2,23,22
21,23,2,11
21,13,11,14
22,15,25,14
24,30,23,13
28,22,0,9
13,30,0,4
0,3,14,16
27,28,5,30
25,15,3,16
6,18,29,4
3,27,9,29
12,19,30,31
16,16,6,29
22,28,30,9
11,19,7,18
25,11,31,1
26,4,28,7
6,3,3,29
17,18,28,0
8,1,13,7
14,11,0,21
5,15,0,26
20,19,10,20
11,24,9,24
6,10,31,12
19,20,1,18
18,26,4,6
7,15,0,27
15,24,11,17
24,27,16,22
12,31,22,25
10,14,13,13
2,17,25,8
3,13,21,10
8,6,1,2
6,12,2,5
16,1,10,16
19,3,11,11
29,29,7,27
13,6,20,31
4,0,14,28
3,23,23,26
16,23,12,2
16,0,15,26
9,1,28,20
4,31,17,11
26,30,8,23
14,12,10,9
21,9,2,3
23,1,9,16
23,28,11,2
8,28,15,19
12,6,8,22
8,2,0,8
17,7,25,13
1,16,9,9
9,7,26,9
30,7,29,10
12,16,9,22
29,0,2,21
13,28,0,24
16,9,20,7
13,3,6,24
4,2,6,4
12,24,29,6
27,11,26,31
8,10,22,6
4,4,16,24
17,26,14,9
31,27,16,30
16,6,22,13
20,30,11,7
26,5,25,19
6,13,17,8
20,1,14,25
1,14,15,6
31,22,31,7
2,23,22,8
11,6,25,26
23,11,23,31
22,2,10,3
29,2,7,4
4,12,14,6
27,26,28,1
14,30,15,9
22,9,10,10
22,30,16,5
15,13,27,24
5,6,27,17
4,18,7,26
16,2,15,1
14,20,12,4
6,14,21,29
28,12,13,27
3,24,22,27
12,18,18,4
22,16,2,20
4,24,24,6
18,18,19,23
1,0,17,3
25,24,16,15
22,22,23,12
4,21,29,25
13,31,20,4
30,14,18,6
6,23,31,3
2,15,24,10
31,15,25,22
1,10,27,10
18,25,28,29
20,12,27,29
14,3,2,29
8,31,15,25
16,17,8,20
20,0,7,13
3,3,25,12
30,25,10,25
21,28,22,24
6,25,11,16
10,23,1,25
16,4,22,31
7,25,4,10
20,5,12,14
12,3,8,21
27,22,20,29
0,16,3,9
6,17,4,16
19,30,3,1
2,1,31,24
25,0,14,17
29,11,3,22
18,1,30,12
1,1,17,27
8,24,21,19
23,19,29,22
24,31,1,21
26,3,2,28
9,20,14,26
24,0,21,6
7,20,17,12
27,15,8,0
11,26,8,16
30,6,13,4
13,5,6,28
22,26,12,27
7,8,27,12
11,22,2,2
20,9,30,19
2,0,20,27
7,6,2,6
15,7,18,28
17,25,18,7
29,12,31,21
