start_y,start_x,goal_y,goal_x
27,2,23,5
7,14,30,18
17,19,30,25
7,11,19,30
0,26,22,10
31,2,6,5
6,15,27,14
7,2,5,11
9,2,26,27
28,18,27,11
21,2,18,1
2,15,18,23
20,1,3,4
19,11,21,9
31,21,14,23
19,6,29,11
28,10,14,10
7,23,30,15
9,27,22,12
3,10,23,27
23,10,31,3
14,25,6,16
1,11,2,29
12,5,11,21
14,4,18,12
1,13,2,23
17,15,18,31
4,10,19,22
17,2,19,29
17,0,15,23
15,29,30,24
14,14,7,29
25,21,21,15
1,21,29,0
3,13,26,13
6,23,11,13
21,1,4,30
5,1,10,3
23,2,2,11
29,31,6,22
13,27,14,13
3,7,29,27
17,3,1,5
17,30,22,30
2,1,21,21
23,23,4,19
27,15,2,20
29,22,6,25
27,13,3,18
23,21,30,4
5,9,7,22
20,7,11,6
19,10,4,26
25,17,21,6
29,9,1,10
14,11,23,13
28,23,21,14
29,10,29,5
11,11,16,2
1,25,12,3
31,27,7,13
14,22,27,16
27,31,8,1
9,3,27,30
11,17,23,11
13,1,11,26
15,22,29,13
2,5,14,29
2,13,21,17
9,6,13,25
7,30,2,27
25,15,9,21
6,11,18,28
27,10,23,1
26,19,26,2
6,29,25,13
3,14,1,24
25,2,2,9
15,13,19,5
5,23,17,21
9,19,6,10
17,25,27,25
7,6,6,14
13,14,15,30
17,26,6,18
30,17,19,26
27,22,3,19
14,15,9,31
1,18,3,17
17,24,19,2
15,5,19,21
11,2,3,15
25,29,21,29
9,0,1,30
24,3,17,31
10,26,29,21
13,22,30,10
26,23,31,25
27,12,30,14
24,25,6,4
30,11,18,17
15,19,2,22
19,18,6,26
7,26,5,3
19,13,20,11
10,14,13,31
18,10,17,10
31,23,10,28
25,9,28,31
22,5,1,23
2,3,26,31
5,12,10,11
1,19,2,7
30,23,13,9
13,23,22,14
14,6,10,25
6,8,7,18
3,0,3,22
23,7,3,21
5,31,13,17
3,5,29,18
22,23,25,14
29,3,12,11
18,6,29,17
8,6,21,18
1,29,13,11
23,26,25,25
26,22,29,26
26,30,16,27
1,27,1,6
5,15,14,19
30,3,30,9
6,30,14,21
5,6,31,22
5,10,26,25
15,14,1,22
0,17,22,25
9,1,29,14
3,26,3,29
23,3,7,10
29,29,9,29
11,18,1,31
10,5,6,13
22,15,30,19
13,10,9,13
25,11,14,18
22,26,22,11
16,14,17,29
24,18,13,7
17,18,19,23
21,5,10,13
10,19,12,14
25,31,22,27
5,30,15,27
22,20,18,5
14,31,26,18
18,2,10,31
10,10,18,21
3,9,27,23
17,27,2,26
17,9,7,31
7,3,2,18
25,19,11,9
22,2,26,5
10,7,30,7
6,2,11,14
29,15,25,0
6,3,11,31
11,23,10,23
23,14,10,6
31,5,14,7
18,30,0,3
9,20,26,10
16,5,7,17
15,26,18,9
23,29,29,30
25,1,10,15
5,22,3,31
27,17,27,3
31,9,29,7
20,31,13,3
9,9,21,7
20,13,15,17
2,6,6,1
27,24,5,13
18,8,25,3
19,1,26,9
13,30,31,8
30,22,3,6
21,19,18,11
31,14,15,10
17,13,11,16
2,31,21,3
22,18,7,21
5,18,26,15
19,14,3,11
27,18,23,24
19,17,10,2
21,31,6,27
22,6,8,21
23,18,6,21
26,26,9,15
14,26,15,11
17,1,11,7
14,17,28,14
5,2,15,9
23,9,23,31
25,30,11,1
2,2,22,13
5,27,9,11
20,21,25,5
9,23,31,19
22,19,9,14
22,31,10,17
18,26,9,7
27,7,29,1
29,19,13,6
22,1,30,30
16,31,15,21
1,15,5,26
5,5,14,2
26,11,27,29
31,16,2,17
31,18,16,9
31,6,3,30
7,19,4,5
11,24,13,26
13,18,25,10
13,13,1,1
10,1,1,3
23,15,22,7
0,23,14,5
29,6,9,12
22,22,31,11
25,18,12,27
18,22,26,21
26,17,18,3
17,14,8,9
27,19,30,31
16,18,7,7
31,10,31,29
7,9,13,21
9,22,28,2
21,11,21,23
25,26,23,25
1,17,25,6
27,1,9,26
30,27,8,18
27,9,11,19
31,15,11,27
0,15,13,19
15,1,30,26
30,6,22,17
28,6,30,29
23,28,2,19
31,13,17,6
22,9,31,30
15,31,29,2
19,19,23,8
19,25,18,19
23,19,2,10
15,18,16,22
26,7,15,2
0,6,31,12
5,19,3,25
13,15,31,28
31,20,11,10
29,23,11,4
5,7,31,26
18,13,7,1
30,1,9,25
13,29,19,9
23,17,30,13
5,17,10,30
17,23,20,26
10,27,11,15
7,5,25,27
31,7,31,1
1,14,21,26
12,23,18,29
30,21,8,13
24,31,3,1
15,24,10,21
31,17,14,1
2,25,2,16
3,2,14,27
17,5,9,18
26,6,15,6
11,29,1,26
21,10,5,0
30,5,25,22
23,6,22,16
27,26,18,16
6,7,24,9
27,6,9,5
26,14,17,11
22,29,27,20
19,27,7,25
13,0,18,25
21,30,1,7
2,14,21,13
7,15,19,31
26,1,27,4
3,23,15,7
25,8,14,9
30,2,13,2
6,17,6,19
21,27,27,21
18,18,2,21
11,25,11,22
18,15,11,3
27,27,19,15
25,7,18,7
23,30,11,5
25,23,14,8
15,15,11,30
21,0,31,31
4,22,6,31
19,3,27,5
26,3,8,30
2,30,14,3
9,30,18,27
14,30,17,17
0,29,18,14
20,17,27,28
10,9,3,27
10,29,9,17
1,2,21,22
17,7,5,29
7,27,6,6
5,14,21,25
13,5,19,7
15,25,9,10
6,9,23,22
10,18,22,3
29,25,10,22
5,25,3,3
17,22,3,28
22,21,5,21
0,9,26,29
15,3,1,9
